date,flow_usd
2025-01-14,-219.5
2025-01-15,31.9
2025-01-16,527.9
2025-01-17,375.9
2025-01-21,661.9
2025-01-22,344.3
2025-01-23,154.6
2025-01-24,155.7
2025-01-27,63.9
2025-01-28,30.1
2025-01-29,-28.4
2025-01-30,321.5
2025-01-31,363.8
2025-02-03,0.0
2025-02-04,249.0
2025-02-05,44.4
2025-02-06,0.0
2025-02-07,21.9
2025-02-10,55.4
2025-02-11,23.8
2025-02-12,-22.1
2025-02-13,26.2
2025-02-14,22.3
2025-02-18,68.4
2025-02-19,0.0
2025-02-20,-112.0
2025-02-21,21.6
2025-02-24,-158.6
2025-02-25,-164.4
2025-02-26,-418.1
2025-02-27,-189.0
2025-02-28,-244.6
2025-03-03,-78.0
2025-03-04,0.0
2025-03-05,38.9
2025-03-06,-50.6
2025-03-07,-39.9
2025-03-10,-89.2
2025-03-11,-151.3
2025-03-12,-47.1
2025-03-13,45.7
2025-03-14,-96.2
2025-03-17,42.3
2025-03-18,218.1
2025-03-19,0.0
2025-03-20,172.1
2025-03-21,105.0
2025-03-24,18.1
2025-03-25,42.0
2025-03-26,107.9
2025-03-27,4.0
2025-03-28,0.0
2025-03-31,15.1
2025-04-01,0.0
2025-04-02,-115.9
2025-04-03,65.3
2025-04-04,0.0
2025-04-07,0.0
2025-04-08,-252.9
2025-04-09,-89.7
2025-04-10,0.0
2025-04-11,0.0
2025-04-14,36.7
2025-04-15,38.2
2025-04-16,30.6
2025-04-17,81.0
2025-04-21,41.6
2025-04-22,193.5
2025-04-23,643.2
2025-04-24,327.3
2025-04-25,240.1
2025-04-28,970.9
2025-04-29,216.7
2025-04-30,267.0
2025-05-01,351.4
2025-05-02,674.9
2025-05-05,531.2
2025-05-06,36.7
2025-05-07,37.2
2025-05-08,69.0
2025-05-09,356.2
2025-05-12,69.4
2025-05-13,0.0
2025-05-14,232.9
2025-05-15,409.7
2025-05-16,129.7
2025-05-19,305.9
2025-05-20,287.5
2025-05-21,530.6
2025-05-22,877.2
2025-05-23,430.8
2025-05-27,409.3
2025-05-28,481.0
2025-05-29,125.1
2025-05-30,-430.8
2025-06-02,-130.4
2025-06-03,58.0
2025-06-04,284.0
2025-06-05,0.0
2025-06-06,-130.5
2025-06-09,120.9
2025-06-10,336.7
2025-06-11,131.0
2025-06-12,288.3
2025-06-13,239.0
2025-06-16,266.6
2025-06-17,639.2
2025-06-18,278.9
2025-06-20,46.9
2025-06-23,217.6
2025-06-24,436.3
2025-06-25,340.3
2025-06-26,163.7
2025-06-27,153.0
2025-06-30,112.3
2025-07-01,0.0
